semantic_model,session_index,session_id,token_id,book_frame_index,local_receive_time,updates_since_prior_book,full_book_equal,bid_equal,ask_equal,best_bid_equal,best_ask_equal,bid_diff_levels,ask_diff_levels,absolute_size_error,rebootstrap_after_check
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,905,2026-09-13T00:06:50.359721+00:00,124,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,921,2026-09-13T00:06:50.546152+00:00,15,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1307,2026-09-13T00:06:55.422072+00:00,361,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1316,2026-09-13T00:06:55.422718+00:00,8,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,1657,2026-09-13T00:07:00.624661+00:00,339,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2139,2026-09-13T00:07:13.836745+00:00,471,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2142,2026-09-13T00:07:13.921507+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2162,2026-09-13T00:07:15.719781+00:00,17,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2178,2026-09-13T00:07:18.051214+00:00,14,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2182,2026-09-13T00:07:19.017406+00:00,2,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2187,2026-09-13T00:07:19.175498+00:00,3,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2199,2026-09-13T00:07:21.605909+00:00,10,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2213,2026-09-13T00:07:22.880271+00:00,12,True,True,True,True,True,0,0,0.00,True
